dataset,selection_method,selection_metric,attention_selector,real_fraction_masked,approx_features_masked,fraction_from_features,model,balanced_accuracy_mean,balanced_accuracy_std,accuracy_mean,accuracy_std,roc_auc_mean,roc_auc_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std
adult,random,balanced_accuracy,0.8,0.7142857142857143,10,0.7142857142857143,DT,0.7469616146465179,0.008194330228708116,0.8135622469962286,0.006924200514689296,0.7469616146465179,0.008194330228708108,0.8771074185691873,0.004848584212526409,0.8795719359144913,0.004078406689149046,0.8746870685421305,0.007746462820778586
adult,random,balanced_accuracy,0.9,0.8571428571428571,12,0.8571428571428571,DT,0.744269831893895,0.007402303129312608,0.811473715271054,0.005601876493644558,0.744269831893895,0.007402303129312635,0.8757146657239406,0.003917697652447022,0.8783212181263507,0.0039747911783835806,0.873152654049927,0.00656312894706611
adult,random,log_loss,0.2,0.14285714285714285,2,0.14285714285714285,DT,0.513975607139907,0.003667106845282222,0.7609228764448825,0.002525420937792986,0.513975607139907,0.003667106845282193,0.8627250969830704,0.0014581066986071865,0.7659059999103468,0.0013308558126068032,0.9875655960837207,0.002005276347399065
adult,random,log_loss,0.3,0.21428571428571427,3,0.21428571428571427,DT,0.5881161216288462,0.007390599596994261,0.6928460865257181,0.0055785703740103025,0.5881161216288462,0.007390599596994279,0.7962472449639125,0.003908709747139019,0.8036770901798814,0.0036133158055153885,0.7889653631236355,0.005258492670122353
adult,random,log_loss,0.4,0.2857142857142857,4,0.2857142857142857,DT,0.7262108113004724,0.011225646540557882,0.8110849329836023,0.006473972876497086,0.7262108113004723,0.011225646540557847,0.8774419179777105,0.004162014910355052,0.8662423003174361,0.005965604315953938,0.8889786699543787,0.006388229341866471
adult,random,log_loss,0.5,0.42857142857142855,6,0.42857142857142855,DT,0.6876561440418396,0.004965195759445329,0.7704025133349596,0.0030501560576611875,0.6876561440418396,0.00496519575944533,0.8486700803842009,0.0023690799142950217,0.8510384650337761,0.003021189244880832,0.8463464672791045,0.005652662599178605
adult,random,log_loss,0.6,0.5,7,0.5,DT,0.7326413798915227,0.009265249900548845,0.8124771421649619,0.0037212062527565877,0.7326413798915227,0.009265249900548849,0.8778461571703234,0.002300897820900118,0.8701333956802584,0.0054450306863198,0.8857490434583563,0.0055637060739050885
adult,random,log_loss,0.7,0.6428571428571429,9,0.6428571428571429,DT,0.7281521730725478,0.005725205197967958,0.7970803626740167,0.003758238887267974,0.7281521730725478,0.005725205197967992,0.8657797207457536,0.0026193256051299254,0.8713065634928521,0.0032285125845948576,0.860342087687451,0.004704880857144197
adult,random,log_loss,0.8,0.7142857142857143,10,0.7142857142857143,DT,0.7469616146465179,0.008194330228708116,0.8135622469962286,0.006924200514689296,0.7469616146465179,0.008194330228708108,0.8771074185691873,0.004848584212526409,0.8795719359144913,0.004078406689149046,0.8746870685421305,0.007746462820778586
adult,random,log_loss,0.9,0.8571428571428571,12,0.8571428571428571,DT,0.744269831893895,0.007402303129312608,0.811473715271054,0.005601876493644558,0.744269831893895,0.007402303129312635,0.8757146657239406,0.003917697652447022,0.8783212181263507,0.0039747911783835806,0.873152654049927,0.00656312894706611
anneal,attention/balanced_accuracy,balanced_accuracy,0.2,0.11699610244988864,4,0.125,DT,0.8013425993585841,0.11637192935367974,0.9187141073657928,0.022227010508112474,,,,,,,,
anneal,attention/balanced_accuracy,balanced_accuracy,0.3,0.20688335189309576,7,0.21875,DT,0.8549905309950067,0.09740985558303424,0.9343196004993757,0.021832382723635798,,,,,,,,
anneal,attention/balanced_accuracy,balanced_accuracy,0.4,0.30888084632516705,10,0.3125,DT,0.8771247716477897,0.08515708692516262,0.9243570536828963,0.02315767874612601,,,,,,,,
anneal,attention/balanced_accuracy,balanced_accuracy,0.5,0.4135231069042316,13,0.40625,DT,0.8134211322210044,0.10152553731598568,0.8775530586766541,0.03255312617237851,,,,,,,,
anneal,attention/balanced_accuracy,balanced_accuracy,0.6,0.520288140311804,17,0.53125,DT,0.8847644826046361,0.07314664041286266,0.922059925093633,0.01955393018590594,,,,,,,,
anneal,attention/balanced_accuracy,balanced_accuracy,0.7,0.6301155345211581,20,0.625,DT,0.8904982949701619,0.06456559504593536,0.9554431960049937,0.01486865820433779,,,,,,,,
anneal,attention/balanced_accuracy,balanced_accuracy,0.8,0.7433880846325167,24,0.75,DT,0.9148118783745381,0.0667845608730267,0.9643320848938826,0.017323798746487235,,,,,,,,
anneal,attention/balanced_accuracy,balanced_accuracy,0.9,0.8663001113585747,28,0.875,DT,0.9690173344700199,0.06288927916088344,0.9888264669163546,0.011817717553033064,,,,,,,,
anneal,attention/log_loss,log_loss,0.2,0.11870128062360802,4,0.125,DT,0.7219739779969959,0.09629294794634084,0.9142696629213483,0.026172077324451926,,,,,,,,
anneal,attention/log_loss,log_loss,0.3,0.21064170378619154,7,0.21875,DT,0.7304161795152844,0.09782115017029432,0.8730711610486891,0.02222495350273586,,,,,,,,
anneal,attention/log_loss,log_loss,0.4,0.3080456570155902,10,0.3125,DT,0.8312988369260749,0.08295019184431551,0.9131086142322097,0.01288428761468556,,,,,,,,
anneal,attention/log_loss,log_loss,0.5,0.41171353006681516,13,0.40625,DT,0.8888782426013885,0.09823220383535367,0.9509612983770287,0.02062784011709813,,,,,,,,
anneal,attention/log_loss,log_loss,0.6,0.5196269487750557,17,0.53125,DT,0.8996324950269964,0.06604303510943792,0.957665418227216,0.017275688613613758,,,,,,,,
anneal,attention/log_loss,log_loss,0.7,0.6240952115812918,20,0.625,DT,0.8731251776072748,0.12151038524771982,0.9532209737827715,0.016428781174168766,,,,,,,,
anneal,attention/log_loss,log_loss,0.8,0.7430748886414253,24,0.75,DT,0.8806453537936914,0.10743623441047127,0.9676903870162297,0.012338697622828031,,,,,,,,
anneal,attention/log_loss,log_loss,0.9,0.8608017817371938,28,0.875,DT,0.9178416453537936,0.0734557274954634,0.9755056179775281,0.012605021345073098,,,,,,,,
anneal,f_classif,balanced_accuracy,0.2,0.125,4,0.125,DT,0.3526385945682621,0.11005819498469238,0.7773408239700375,0.03592914606029026,,,,,,,,
anneal,f_classif,balanced_accuracy,0.3,0.21875,7,0.21875,DT,0.5345361608411481,0.1469898768799837,0.8163171036204744,0.03869392797103922,,,,,,,,
