dataset,cluster,model,selection_method,opt_metric,n_features_selected,features_percent,balanced_accuracy_mean,balanced_accuracy_std,accuracy_mean,accuracy_std
jasmine,C0,LR,random_3,log_loss,28,0.2,0.7305771812080537,0.016148040904702093,0.730555992009158,0.01609777541219328
jasmine,C0,LR,random_3,log_loss,43,0.3,0.7603758389261744,0.02979552578641904,0.7603746268321698,0.029766689658533966
jasmine,C0,LR,random_4,log_loss,14,0.1,0.7516778523489933,0.01912252290779957,0.7516733631119391,0.019102255507169125
jasmine,C0,LR,random_4,log_loss,28,0.2,0.7275480984340045,0.02259150745921714,0.7275482031828691,0.02250693658475201
jasmine,C0,LR,random_4,log_loss,43,0.3,0.7409530201342281,0.02225072418091127,0.7409541873358623,0.022260384422118334
jasmine,C0,MLP,attention,log_loss,14,0.1,0.7295458612975392,0.02449151468873701,0.7295515252182891,0.024274366757267997
jasmine,C0,MLP,attention,log_loss,28,0.2,0.7701230425055928,0.029817604745269084,0.7701095373841216,0.029825221301085905
jasmine,C0,MLP,attention,log_loss,43,0.3,0.7717852348993288,0.03528382873681807,0.7717829004960607,0.03528670901267939
jasmine,C0,MLP,decision_tree,log_loss,14,0.1,0.806662192393736,0.02011712699327726,0.8066429485308971,0.020109021445959083
jasmine,C0,MLP,decision_tree,log_loss,28,0.2,0.7858456375838927,0.03130695739034704,0.7858622702071784,0.031284046977754505
jasmine,C0,MLP,decision_tree,log_loss,43,0.3,0.7751297539149888,0.029089360523027467,0.7751352382662566,0.029068968057422824
jasmine,C0,MLP,f_classif,log_loss,14,0.1,0.8012997762863534,0.026564105954752507,0.8012738210141187,0.026497607072563677
jasmine,C0,MLP,f_classif,log_loss,28,0.2,0.8080044742729307,0.016975929776330934,0.8079784965545105,0.016924436304869478
jasmine,C0,MLP,f_classif,log_loss,43,0.3,0.814337807606264,0.026039906381991787,0.8143341339139413,0.026017945808228693
jasmine,C0,MLP,linear_model,log_loss,14,0.1,0.8026308724832214,0.028275721906261063,0.8026093690377321,0.028301321875383617
jasmine,C0,MLP,linear_model,log_loss,28,0.2,0.8063042505592841,0.020056429359247983,0.8063006442055173,0.020042234874122454
jasmine,C0,MLP,linear_model,log_loss,43,0.3,0.8079932885906039,0.028683817900833363,0.8079740073174564,0.028660485811149616
jasmine,C0,MLP,random,log_loss,14,0.1,0.7466711409395973,0.027538637597502958,0.7466487845390676,0.027508652210759824
jasmine,C0,MLP,random,log_loss,28,0.2,0.748337807606264,0.023932437159424967,0.7483131691768984,0.02383737425489676
jasmine,C0,MLP,random,log_loss,43,0.3,0.7517002237136465,0.031119975457786435,0.751668873874885,0.0310893471943904
jasmine,C0,MLP,random_1,log_loss,14,0.1,0.7707740492170022,0.03376625513911894,0.7707615990662386,0.03369022207939019
jasmine,C0,MLP,random_1,log_loss,28,0.2,0.741917225950783,0.03455170833148391,0.74195192027115,0.0345399310913097
jasmine,C0,MLP,random_1,log_loss,43,0.3,0.7768031319910514,0.02552132376361065,0.7767962559762969,0.02547662708198511
jasmine,C0,MLP,random_2,log_loss,14,0.1,0.7667606263982103,0.029572879095088853,0.7667515880676079,0.029439739356342233
jasmine,C0,MLP,random_2,log_loss,28,0.2,0.732255033557047,0.029724866253612352,0.7322170097191982,0.029601983313063605
jasmine,C0,MLP,random_2,log_loss,43,0.3,0.7523512304250559,0.03196756672028473,0.7523512379071177,0.03198723163330068
jasmine,C0,MLP,random_3,log_loss,14,0.1,0.6739217002237137,0.016185420955922823,0.6739175327153151,0.01616276289972741
jasmine,C0,MLP,random_3,log_loss,28,0.2,0.7038098434004475,0.0160665204136052,0.7037642252699154,0.016040340579899483
jasmine,C0,MLP,random_3,log_loss,43,0.3,0.7526263982102909,0.027821948275549707,0.7526609952638549,0.027829003527431694
jasmine,C0,MLP,random_4,log_loss,14,0.1,0.7506733780760626,0.03281444200934107,0.7506587955376983,0.032772356259336215
jasmine,C0,MLP,random_4,log_loss,28,0.2,0.7510380313199105,0.024495383702867933,0.7509954883167607,0.024505178830296067
jasmine,C0,MLP,random_4,log_loss,43,0.3,0.7593892617449665,0.014520676086350015,0.7593746492783551,0.014530865888061595
kr-vs-kp,C0,DT,attention,log_loss,3,0.1,0.9010957150565145,0.010673834703929895,0.9042633228840126,0.010673260993969948
